ExamId,문항,유형,입력모드,배점,단원,개념,정답,검수상태,교정메모,루브릭합
physics1-basic-total-electromagnetism,6,objective,binary,4,전기 회로,전구 정격과 소비전력,④,verified,,4
physics1-basic-total-electromagnetism,7,objective,binary,4,전기 회로,합성저항,②,verified,,4
physics1-basic-total-electromagnetism,8,objective,binary,4,정전기,유도 대전과 접지,②,verified,,4
physics1-basic-total-electromagnetism,9,objective,binary,4,전력,승압 송전,③,verified,,4
physics1-basic-total-electromagnetism,10,objective,binary,4,전기 회로,스위치와 전구 밝기,②,verified,,4
physics1-basic-total-electromagnetism,11,objective,binary,4,전기장과 전위,전위 그래프와 전기장,④,verified,,4
physics1-basic-total-electromagnetism,12,objective,binary,4,자기장,여러 직선도선의 자기장 합성,⑤,verified,,4
physics1-basic-total-electromagnetism,13,objective,binary,4,전자기 유도,패러데이·렌츠 법칙,②,verified,,4
physics1-basic-total-electromagnetism,14,objective,binary,4,자기장,자기장 상쇄 조건,①,verified,,4
physics1-basic-total-electromagnetism,15,objective,binary,4,파동,진행파에서 매질의 운동,②,corrected,공식 해설의 “가속도가 가장 큰 점은 양 끝”은 정확하지 않다. 매질 가속도 크기는 변위의 절댓값이 최대인 마루·골에서 최대이다.,4
physics1-basic-total-electromagnetism,16,objective,binary,4,파동,반대 위상 두 파원의 간섭,④,verified,,4
physics1-basic-total-electromagnetism,17,objective,binary,4,파동,같은 위상 두 점원의 원형 경로 간섭,②,corrected,"원형 경로가 두 파원 S₁, S₂를 지난다는 그림 조건을 함께 사용해야 4개의 극대점이 확정된다.",4
physics1-basic-total-electromagnetism,18,objective,binary,4,파동,양끝 고정 정상파,②,verified,,4
physics1-basic-total-electromagnetism,19,objective,binary,4,파동,물결파 굴절,⑤,verified,,4
physics1-basic-total-electromagnetism,20,objective,binary,4,빛,오목거울 상의 변화,③,verified,,4
physics1-basic-total-electromagnetism,21,subjective,points,4,빛,두 볼록렌즈의 연속 결상,"렌즈 2 오른쪽 20/3 cm, 확대된 도립 실상, 크기 4 cm",corrected,"공식 해설에서 렌즈 2의 배율 m₂=+2/3을 계산하면서 중간상을 “도립”이라고 표현한 부분을 교정하였다. 렌즈 2가 만드는 상은 첫 번째 상에 대해서는 정립이며, 원래 물체에 대한 최종상은 확대된 도립 실상이다.",4
physics1-basic-total-electromagnetism,22,subjective,points,4,빛,굴절에 의한 겉보기 거리와 평면거울,거울면 아래 512.5 cm,verified,,4
physics1-basic-total-electromagnetism,23,subjective,points,4,파동,줄의 정상파와 소리 파장,"f=25 Hz, λ_sound=14 m",verified,,4
physics1-basic-total-electromagnetism,24,subjective,points,4,전기 회로,평형 브리지와 병렬회로,"R=3 Ω, 10 Ω 저항 전류=0.6 A",verified,,4
physics1-basic-total-electromagnetism,25,subjective,points,4,전기장과 전위,두 점전하의 전기장 벡터합,E_D/E_C=8,verified,,4
